Anger_Index ,Anger_Middle,Anger_Ring
201.2,203.13,202.95
201.24,203.15,202.96
201.24,203.17,202.97
201.29,203.18,202.98
201.26,203.2,202.96
201.31,203.19,202.97
201.27,203.19,202.99
201.27,203.2,203.01
201.29,203.19,203.03
201.28,203.15,203
201.33,203.14,203.01
201.29,203.1,202.98
201.31,203.14,202.99
201.3,203.1,202.95
201.28,203.11,202.97
201.31,203.04,202.91
201.31,203,202.87
201.36,202.92,202.8
201.47,202.83,202.76
201.54,202.79,202.74
201.68,202.76,202.8
201.78,202.74,202.74
201.98,202.68,202.69
202.2,202.52,202.57
202.41,202.45,202.42
202.88,202.38,202.34
203.24,202.29,202.26
203.5,202.24,202.28
203.81,202.2,202.19
204.03,202.14,202.16
204.19,202.08,202.07
204.45,202.12,202.09
204.72,202.13,202.01
204.98,202.1,202.01
205.15,202.03,201.95
205.31,201.91,201.9
205.46,201.82,201.82
205.66,201.76,201.75
205.78,201.79,201.78
205.92,201.75,201.76
206.01,201.8,201.74
206.13,201.84,201.82
206.15,201.81,201.81
206.23,201.83,201.8
206.26,201.82,201.78
206.39,201.8,201.74
206.4,201.78,201.68
206.46,201.78,201.7
206.53,201.82,201.75
206.51,201.87,201.75
206.56,201.86,201.9
206.59,201.89,201.84
206.65,201.88,201.82
206.72,201.84,201.76
206.92,201.75,201.68
207.23,201.68,201.6
207.52,201.59,201.48
207.82,201.4,201.32
208.19,200.93,201.06
208.69,200.42,200.77
209.29,199.83,200.33
209.66,199.26,199.96
209.79,198.72,199.53
209.84,198.41,199.21
209.84,197.91,198.77
209.98,197.48,198.29
210.02,196.92,197.75
210,196.39,197.15
209.95,195.8,196.56
210.05,195.43,196.11
210.21,195.22,195.82
210.26,194.9,195.53
210.22,194.23,194.98
209.98,193.51,194.11
209.83,192.82,193.32
209.84,192.4,192.65
209.91,191.94,192.04
210.03,191.48,191.38
210.06,191.06,190.93
210.08,190.66,190.31
210.17,190.24,189.97
210.11,189.8,189.47
209.97,189.37,188.97
209.81,188.8,188.27
209.57,188.29,187.66
209.47,187.89,187.14
209.49,187.61,186.76
209.53,187.27,186.31
209.33,186.76,185.79
209.08,185.97,184.68
208.73,185.01,183.65
208.53,184.31,182.82
208.07,183.6,182.07
207.74,182.74,180.95
207.45,181.71,179.96
207.19,180.96,179.2
206.93,180.48,178.82
206.85,180.34,178.55
206.73,180.14,178.3
206.42,179.57,177.41
206.08,178.68,176.37
205.77,177.52,174.95
205.6,176.75,174.26
205.27,176.07,173.66
205.05,175.71,173.28
204.81,175.39,173.05
204.68,175.19,172.71
204.57,174.62,172.02
204.34,174.02,171.27
204.05,173.28,170.36
203.71,172.79,169.83
203.58,172.37,169.18
203.45,172.21,169.19
203.23,172.13,169.2
202.9,171.93,168.91
