Anger_Index ,Anger_Middle,Anger_Ring
79.69,96.23,94.76
84.34,101.19,98.82
89.96,106.17,102.7
94.86,110.9,106.34
99.9,115.82,110.05
104.85,120.02,114.07
109.08,123.59,117.48
113.13,127.1,121.23
117.4,130.84,124.41
121.97,134.72,128.25
126.82,138.73,131.64
131.68,142.86,135.28
136.23,146.79,138.81
140.38,150.15,142.1
143.58,153.11,144.89
145.97,155.28,146.95
147.95,157.52,148.96
149.78,159.21,150.82
151.51,160.97,152.12
152.93,162.72,153.45
154.2,164.07,154.91
155.27,165.29,155.98
156.1,166.37,156.85
156.69,167.21,157.72
157.19,167.8,158.68
157.61,168.7,159.41
157.78,169.27,160.26
157.87,169.87,160.63
157.78,169.97,161.01
157.71,170.41,161.05
157.65,170.55,161.34
157.54,170.95,161.76
157.4,171.15,162.08
157.24,171.48,162.25
157.12,171.69,162.68
156.81,171.96,162.75
156.75,171.94,162.8
156.48,172.03,162.84
156.26,172.02,162.85
156.06,172.25,163.06
155.88,172.38,163.23
155.65,172.4,163.39
155.41,172.49,163.51
155.25,172.52,163.62
155.05,172.52,163.63
154.79,172.49,163.67
154.61,172.37,163.64
154.57,172.35,163.65
154.5,172.41,163.73
154.39,172.37,163.72
154.34,172.41,163.78
154.39,172.49,163.89
154.3,172.49,163.89
154.3,172.54,163.94
154.28,172.56,163.97
154.24,172.63,164.06
154.28,172.71,164.15
154.36,172.77,164.25
154.34,172.74,164.22
154.31,172.73,164.32
154.36,172.81,164.38
154.41,172.88,164.37
154.57,173.08,164.59
154.59,173.2,164.72
154.65,173.34,164.82
154.67,173.42,164.97
154.77,173.45,165.08
154.82,173.51,165.15
154.86,173.55,165.16
154.92,173.68,165.29
155.02,173.84,165.45
155.19,174.09,165.78
155.23,174.19,165.9
155.27,174.34,166.09
155.39,174.46,166.26
155.43,174.57,166.35
155.52,174.69,166.57
155.56,174.87,166.81
155.79,175.11,167.07
155.83,175.28,167.35
155.99,175.57,167.57
156.06,175.69,167.82
156.16,175.94,168.11
156.33,176.23,168.44
156.48,176.53,168.75
156.63,176.85,169.21
156.95,177.29,169.76
157.15,177.69,170.36
157.49,178.11,170.89
157.72,178.51,171.35
158,178.87,171.9
158.46,179.35,172.53
159.05,179.93,173.38
