Index finger,Middle finger,Ring  finger
53.45,55.97,53.73
53.62,56.01,53.8
53.7,56.06,53.83
53.73,56.1,53.85
53.77,56.09,53.83
53.71,56.07,53.84
53.75,56.09,53.89
53.66,56.08,53.84
53.63,56.09,53.88
53.65,56.11,53.91
53.69,56.13,53.94
53.78,56.16,53.98
53.75,56.16,53.89
53.71,56.11,53.89
53.68,56.08,53.88
53.64,56.09,53.84
53.69,56.11,53.88
53.72,56.11,53.85
53.71,56.09,53.85
53.68,56.04,53.79
53.63,56,53.68
53.59,55.9,53.67
53.53,55.9,53.62
53.56,55.93,53.65
53.62,55.9,53.67
53.63,55.95,53.66
53.69,55.94,53.69
53.74,55.93,53.67
53.77,55.98,53.68
53.76,55.93,53.68
53.76,55.96,53.67
53.73,55.98,53.68
53.77,56,53.74
53.82,56,53.7
53.79,56,53.69
53.83,55.99,53.7
53.82,55.99,53.68
53.86,56.01,53.71
53.87,56.03,53.71
53.88,56.06,53.77
53.95,56.09,53.75
53.91,56.08,53.8
53.92,56.12,53.8
53.99,56.12,53.83
54.01,56.19,53.87
54.08,56.19,53.91
54.1,56.23,53.92
54.09,56.23,53.96
54.08,56.26,53.98
54.13,56.22,54.01
54.1,56.24,53.98
54.17,56.28,54.06
54.27,56.42,54.18
54.37,56.49,54.29
54.47,56.58,54.39
54.55,56.72,54.57
54.7,56.86,54.63
54.89,56.99,54.82
55.04,57.09,54.93
55.08,57.12,55
55.04,57.12,54.99
55.04,57.21,55.04
55.17,57.35,55.15
55.3,57.34,55.29
55.46,57.66,55.46
55.51,57.78,55.51
55.51,57.76,55.57
55.44,57.78,55.62
55.29,57.77,55.67
55.15,57.8,55.69
55.1,57.83,55.75
55.04,57.76,55.74
54.83,57.63,55.69
54.62,57.5,55.48
54.49,57.38,55.38
54.34,57.34,55.27
54.34,57.41,55.27
54.53,57.58,55.39
54.71,57.79,55.5
54.87,57.97,55.61
54.99,58.12,55.66
55.15,58.26,55.77
55.31,58.5,55.9
55.56,58.79,56.04
55.86,59.09,56.27
56.37,59.5,56.57
56.78,59.92,56.81
57.09,60.22,56.96
57.3,60.52,57.02
57.72,60.9,57.21
58.18,61.4,57.38
58.96,62,57.71
59.84,62.69,58.07
60.71,63.37,58.48
61.55,64.09,58.96
62.39,64.78,59.45
63.18,65.52,59.93
64.06,66.42,60.57
65.08,67.44,61.31
66.15,68.57,62.26
67.3,69.69,63.09
68.44,70.85,64.03
69.61,71.91,64.93
70.73,72.96,65.77
71.79,74.12,66.67
70.69,75.36,67.71
72.21,76.89,68.98
73.88,78.45,70.46
75.42,79.93,71.87
76.99,81.57,73.39
78.6,83.24,74.88
